date,location,cases,cases_minmax,RAINFALL_minmax,TMAX_minmax,TMIN_minmax,RH_minmax,WIND_SPEED_minmax,WIND_DIR_X,WIND_DIR_Y,state
2017-03-05,MANILA CITY,31,0.1291666666666666,0.014500683994528,0.3280098280098279,0.3413793103448276,0.4883342376559957,0.2257336343115124,0.9617413095492112,0.2739592186924324,Low
2017-03-12,MANILA CITY,28,0.1166666666666666,0.0082079343365253,0.4643734643734643,0.332758620689655,0.2403689636462289,0.2595936794582392,-0.4539904997395469,-0.8910065241883678,Low
2017-03-19,MANILA CITY,7,0.0291666666666666,0.0098495212038303,0.5196560196560199,0.4879310344827589,0.2558328811720021,0.3544018058690744,-0.8073724359982184,0.5900421591634811,Low
2017-03-26,MANILA CITY,16,0.0666666666666666,0.0123119015047879,0.7002457002457004,0.6034482758620688,0.3448182311448725,0.3544018058690744,-0.9363662190354898,-0.3510246484923547,Low
2017-04-02,MANILA CITY,14,0.0583333333333333,0.0065663474692202,0.5233415233415237,0.5586206896551726,0.2750949538795439,0.3882618510158013,-0.3010386911959204,0.953611926520976,Low
2017-04-09,MANILA CITY,28,0.1166666666666666,0.0082079343365253,0.5356265356265362,0.527586206896552,0.298426478567553,0.3227990970654626,-0.0310618635640874,0.9995174638954168,Low
2017-04-16,MANILA CITY,25,0.1041666666666666,0.0180574555403556,0.7051597051597053,0.7068965517241381,0.3100922409115572,0.419864559819413,-0.5597715445623708,-0.828646980262559,Low
2017-04-23,MANILA CITY,22,0.0916666666666666,0.1844049247606019,0.7014742014742014,0.6051724137931036,0.5230602278893106,0.419864559819413,-0.953611926520976,-0.3010386911959203,Low
2017-04-30,MANILA CITY,20,0.0833333333333333,0.0580027359781121,0.7788697788697792,0.7465517241379312,0.4107433532284316,0.3227990970654626,-0.8445149128946744,-0.535532036295216,Low
2017-05-07,MANILA CITY,14,0.0583333333333333,0.0142270861833105,0.8353808353808357,0.7706896551724142,0.3255561584373306,0.3227990970654626,-0.6615736631873262,-0.7498801825471201,Low
2017-05-14,MANILA CITY,16,0.0666666666666666,0.0082079343365253,0.9336609336609336,0.863793103448276,0.1047205642973412,0.4514672686230248,-0.6614427743298384,0.7499956375118767,Low
2017-05-21,MANILA CITY,19,0.0791666666666666,0.0062927496580027,0.7223587223587224,0.9258620689655171,0.5271296798697774,0.419864559819413,-0.5994427783489822,-0.8004176131778042,Low
2017-05-28,MANILA CITY,11,0.0458333333333333,0.1493844049247606,0.6351351351351351,0.7120689655172417,0.6744438415626696,0.4514672686230248,-0.4094453926960059,-0.9123346263296234,Low
2017-06-04,MANILA CITY,16,0.0666666666666666,0.2481532147742818,0.7420147420147426,0.7344827586206898,0.5889853499728702,0.4853273137697517,-0.2249510543438652,-0.9743700647852352,Low
2017-06-11,MANILA CITY,16,0.0666666666666666,0.2320109439124487,0.6031941031941034,0.7034482758620692,0.6975040694519804,0.1941309255079006,-0.9992960355983396,0.0375157731819847,Low
2017-06-18,MANILA CITY,24,0.1,0.013953488372093,0.7899262899262898,0.8448275862068968,0.4533369506239826,0.2595936794582392,-0.7545950648270361,-0.6561907406682003,Low
2017-06-25,MANILA CITY,36,0.15,0.1154582763337893,0.6707616707616707,0.6603448275862072,0.5968529571351059,0.2257336343115124,-0.3865500013144859,-0.9222684514195262,Medium
2017-07-02,MANILA CITY,37,0.1541666666666666,0.2153214774281805,0.5933660933660938,0.5586206896551726,0.6820401519262069,0.1625282167042889,-0.1125095422278478,-0.9936506442949052,Medium
2017-07-09,MANILA CITY,57,0.2375,0.1151846785225718,0.5663390663390669,0.5982758620689659,0.6356483993488876,0.0654627539503386,-0.6223780362659727,-0.7827167942325702,Medium
2017-07-16,MANILA CITY,68,0.2833333333333333,0.1633378932968536,0.4803439803439805,0.5482758620689654,0.7441671188279977,0.2257336343115124,-0.9987717903683444,-0.0495470560620079,Medium
2017-07-23,MANILA CITY,62,0.2583333333333333,0.0760601915184678,0.4336609336609339,0.5862068965517244,0.662778079218665,0.2595936794582392,-0.7637960286346424,-0.6454576877239504,Medium
2017-07-30,MANILA CITY,84,0.35,0.6095759233926129,0.2506142506142506,0.5172413793103448,0.8255561584373303,1.0,-0.6632733829897569,-0.7483771906046598,High
2017-08-06,MANILA CITY,78,0.325,0.3299589603283173,0.3906633906633908,0.6793103448275863,0.7750949538795441,0.7426636568848758,-0.6632733829897569,-0.7483771906046598,High
2017-08-13,MANILA CITY,104,0.4333333333333333,0.015595075239398,0.5933660933660938,0.7431034482758624,0.5813890396093325,0.419864559819413,-0.0570412885398924,-0.99837182021615,High
2017-08-20,MANILA CITY,89,0.3708333333333333,0.5288645690834474,0.6240786240786246,0.6793103448275863,0.5463917525773193,0.291196388261851,-0.3293610759468213,-0.9442040466187128,High
2017-08-27,MANILA CITY,121,0.5041666666666667,0.2465116279069767,0.3685503685503687,0.4620689655172412,0.7441671188279977,0.4514672686230248,-0.5804187404125258,-0.814318172324514,High
2017-09-03,MANILA CITY,101,0.4208333333333333,0.1958960328317373,0.4582309582309584,0.6103448275862073,0.7091698317959845,0.6772009029345372,-0.6044600849579077,-0.7966354283439062,High
2017-09-10,MANILA CITY,98,0.4083333333333333,0.1805745554035567,0.5614250614250612,0.6396551724137932,0.5501899077590882,0.3227990970654626,-0.2515626323763443,-0.9678410210318036,High
2017-09-17,MANILA CITY,77,0.3208333333333333,0.7419972640218878,0.492628992628993,0.6051724137931036,0.6820401519262069,0.3882618510158013,-0.918584396812554,-0.3952248802043164,High
2017-09-24,MANILA CITY,106,0.4416666666666666,0.2459644322845417,0.5700245700245699,0.5931034482758623,0.6161150298426478,0.291196388261851,-0.7083398377245289,-0.705871570678681,High
2017-10-01,MANILA CITY,127,0.5291666666666667,0.2503419972640219,0.2960687960687962,0.5586206896551726,0.7867607162235486,0.1941309255079006,0.7623295668296173,-0.647189023035286,High
2017-10-08,MANILA CITY,96,0.4,0.1283173734610123,0.398034398034398,0.574137931034483,0.6937059142702114,0.1625282167042889,-0.2310687213954177,-0.972937431694704,High
